timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701350010577,352,bora ,403,Forbidden,Thread Group 1-1,text,false,,3767,121,18,18,https://www.bynder.com/en,352,0,154
1701350010598,369,bora ,403,Forbidden,Thread Group 1-2,text,false,,3767,121,19,19,https://www.bynder.com/en,369,0,160
1701350010629,342,bora ,403,Forbidden,Thread Group 1-3,text,false,,3767,121,19,19,https://www.bynder.com/en,342,0,143
1701350010659,337,bora ,403,Forbidden,Thread Group 1-5,text,false,,3767,121,18,18,https://www.bynder.com/en,337,0,139
1701350010690,358,bora ,403,Forbidden,Thread Group 1-6,text,false,,3767,121,20,20,https://www.bynder.com/en,358,0,150
1701350010736,350,bora ,403,Forbidden,Thread Group 1-9,text,false,,3767,121,21,21,https://www.bynder.com/en,350,0,144
1701350010756,350,bora ,403,Forbidden,Thread Group 1-10,text,false,,3767,121,21,21,https://www.bynder.com/en,350,0,150
1701350010777,349,bora ,403,Forbidden,Thread Group 1-11,text,false,,3767,121,21,21,https://www.bynder.com/en,349,0,148
1701350010817,362,bora ,403,Forbidden,Thread Group 1-13,text,false,,3767,121,23,23,https://www.bynder.com/en,362,0,156
1701350010837,345,bora ,403,Forbidden,Thread Group 1-14,text,false,,3767,121,22,22,https://www.bynder.com/en,345,0,150
1701350010857,349,bora ,403,Forbidden,Thread Group 1-15,text,false,,3767,121,22,22,https://www.bynder.com/en,349,0,144
1701350010644,583,bora ,403,Forbidden,Thread Group 1-4,text,false,,3767,121,22,22,https://www.bynder.com/en,583,0,145
1701350010877,352,bora ,403,Forbidden,Thread Group 1-16,text,false,,3767,121,21,21,https://www.bynder.com/en,350,0,155
1701350010899,345,bora ,403,Forbidden,Thread Group 1-17,text,false,,3767,121,21,21,https://www.bynder.com/en,345,0,145
1701350010918,339,bora ,403,Forbidden,Thread Group 1-18,text,false,,3767,121,20,20,https://www.bynder.com/en,338,0,140
1701350010697,565,bora ,403,Forbidden,Thread Group 1-7,text,false,,3767,121,20,20,https://www.bynder.com/en,565,0,140
1701350010936,335,bora ,403,Forbidden,Thread Group 1-19,text,false,,3767,121,19,19,https://www.bynder.com/en,335,0,142
1701350010716,574,bora ,403,Forbidden,Thread Group 1-8,text,false,,3767,121,19,19,https://www.bynder.com/en,574,0,145
1701350010957,338,bora ,403,Forbidden,Thread Group 1-20,text,false,,3767,121,18,18,https://www.bynder.com/en,338,0,142
1701350010977,337,bora ,403,Forbidden,Thread Group 1-21,text,false,,3767,121,18,18,https://www.bynder.com/en,337,0,140
1701350010997,341,bora ,403,Forbidden,Thread Group 1-22,text,false,,3767,121,19,19,https://www.bynder.com/en,341,0,141
1701350011017,347,bora ,403,Forbidden,Thread Group 1-23,text,false,,3767,121,19,19,https://www.bynder.com/en,347,0,147
1701350011036,341,bora ,403,Forbidden,Thread Group 1-24,text,false,,3767,121,18,18,https://www.bynder.com/en,341,0,142
1701350010796,585,bora ,403,Forbidden,Thread Group 1-12,text,false,,3767,121,18,18,https://www.bynder.com/en,585,0,142
1701350011056,342,bora ,403,Forbidden,Thread Group 1-25,text,false,,3767,121,18,18,https://www.bynder.com/en,342,0,140
1701350011076,337,bora ,403,Forbidden,Thread Group 1-26,text,false,,3767,121,17,17,https://www.bynder.com/en,337,0,139
1701350011097,338,bora ,403,Forbidden,Thread Group 1-27,text,false,,3767,121,17,17,https://www.bynder.com/en,338,0,140
1701350011117,341,bora ,403,Forbidden,Thread Group 1-28,text,false,,3767,121,18,18,https://www.bynder.com/en,341,0,142
1701350011138,337,bora ,403,Forbidden,Thread Group 1-29,text,false,,3767,121,17,17,https://www.bynder.com/en,337,0,142
1701350011177,338,bora ,403,Forbidden,Thread Group 1-31,text,false,,3767,121,18,18,https://www.bynder.com/en,338,0,139
1701350011197,339,bora ,403,Forbidden,Thread Group 1-32,text,false,,3767,121,18,18,https://www.bynder.com/en,339,0,142
1701350011217,345,bora ,403,Forbidden,Thread Group 1-33,text,false,,3767,121,19,19,https://www.bynder.com/en,345,0,150
1701350011258,331,bora ,403,Forbidden,Thread Group 1-35,text,false,,3767,121,19,19,https://www.bynder.com/en,331,0,136
1701350011277,362,bora ,403,Forbidden,Thread Group 1-36,text,false,,3767,121,20,20,https://www.bynder.com/en,362,0,160
1701350011297,342,bora ,403,Forbidden,Thread Group 1-37,text,false,,3767,121,19,19,https://www.bynder.com/en,342,0,147
1701350011316,352,bora ,403,Forbidden,Thread Group 1-38,text,false,,3767,121,20,20,https://www.bynder.com/en,352,0,148
1701350011337,350,bora ,403,Forbidden,Thread Group 1-39,text,false,,3767,121,20,20,https://www.bynder.com/en,350,0,152
1701350011357,338,bora ,403,Forbidden,Thread Group 1-40,text,false,,3767,121,19,19,https://www.bynder.com/en,338,0,145
1701350011378,343,bora ,403,Forbidden,Thread Group 1-41,text,false,,3767,121,20,20,https://www.bynder.com/en,343,0,142
1701350011156,586,bora ,403,Forbidden,Thread Group 1-30,text,false,,3767,121,20,20,https://www.bynder.com/en,586,0,141
1701350011397,348,bora ,403,Forbidden,Thread Group 1-42,text,false,,3767,121,19,19,https://www.bynder.com/en,348,0,147
1701350011418,348,bora ,403,Forbidden,Thread Group 1-43,text,false,,3767,121,19,19,https://www.bynder.com/en,348,0,149
1701350011437,356,bora ,403,Forbidden,Thread Group 1-44,text,false,,3767,121,19,19,https://www.bynder.com/en,356,0,145
1701350011456,350,bora ,403,Forbidden,Thread Group 1-45,text,false,,3767,121,19,19,https://www.bynder.com/en,350,0,144
1701350011237,590,bora ,403,Forbidden,Thread Group 1-34,text,false,,3767,121,19,19,https://www.bynder.com/en,590,0,145
1701350011496,348,bora ,403,Forbidden,Thread Group 1-47,text,false,,3767,121,19,19,https://www.bynder.com/en,348,0,146
1701350011517,342,bora ,403,Forbidden,Thread Group 1-48,text,false,,3767,121,19,19,https://www.bynder.com/en,342,0,142
1701350011538,327,bora ,403,Forbidden,Thread Group 1-49,text,false,,3767,121,18,18,https://www.bynder.com/en,327,0,135
1701350011559,339,bora ,403,Forbidden,Thread Group 1-50,text,false,,3767,121,19,19,https://www.bynder.com/en,339,0,142
1701350011577,333,bora ,403,Forbidden,Thread Group 1-51,text,false,,3767,121,18,18,https://www.bynder.com/en,333,0,138
1701350011598,337,bora ,403,Forbidden,Thread Group 1-52,text,false,,3767,121,18,18,https://www.bynder.com/en,337,0,139
1701350011618,355,bora ,403,Forbidden,Thread Group 1-53,text,false,,3767,121,19,19,https://www.bynder.com/en,348,0,144
1701350011640,355,bora ,403,Forbidden,Thread Group 1-54,text,false,,3767,121,19,19,https://www.bynder.com/en,355,0,147
1701350011657,339,bora ,403,Forbidden,Thread Group 1-55,text,false,,3767,121,18,18,https://www.bynder.com/en,339,0,138
1701350011677,345,bora ,403,Forbidden,Thread Group 1-56,text,false,,3767,121,19,19,https://www.bynder.com/en,345,0,142
1701350011478,563,bora ,403,Forbidden,Thread Group 1-46,text,false,,3767,121,19,19,https://www.bynder.com/en,563,0,141
1701350011717,339,bora ,403,Forbidden,Thread Group 1-58,text,false,,3767,121,19,19,https://www.bynder.com/en,339,0,141
1701350011697,359,bora ,403,Forbidden,Thread Group 1-57,text,false,,3767,121,18,18,https://www.bynder.com/en,359,0,148
1701350011736,341,bora ,403,Forbidden,Thread Group 1-59,text,false,,3767,121,18,18,https://www.bynder.com/en,341,0,146
1701350011757,344,bora ,403,Forbidden,Thread Group 1-60,text,false,,3767,121,18,18,https://www.bynder.com/en,344,0,143
1701350011778,345,bora ,403,Forbidden,Thread Group 1-61,text,false,,3767,121,18,18,https://www.bynder.com/en,344,0,144
1701350011798,353,bora ,403,Forbidden,Thread Group 1-62,text,false,,3767,121,18,18,https://www.bynder.com/en,353,0,157
1701350011817,346,bora ,403,Forbidden,Thread Group 1-63,text,false,,3767,121,18,18,https://www.bynder.com/en,346,0,141
1701350011837,351,bora ,403,Forbidden,Thread Group 1-64,text,false,,3767,121,18,18,https://www.bynder.com/en,351,0,149
1701350011857,350,bora ,403,Forbidden,Thread Group 1-65,text,false,,3767,121,18,18,https://www.bynder.com/en,350,0,143
1701350011876,349,bora ,403,Forbidden,Thread Group 1-66,text,false,,3767,121,18,18,https://www.bynder.com/en,349,0,151
1701350011897,351,bora ,403,Forbidden,Thread Group 1-67,text,false,,3767,121,18,18,https://www.bynder.com/en,351,0,151
