timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701349239213,954,bora ,200,OK,Thread Group 1-1,text,true,,126256,114,48,48,https://cerai.org/,486,0,328
1701349239259,953,bora ,200,OK,Thread Group 1-3,text,true,,126256,114,49,49,https://cerai.org/,483,0,324
1701349239243,1014,bora ,200,OK,Thread Group 1-2,text,true,,126256,114,51,51,https://cerai.org/,507,0,343
1701349239275,982,bora ,200,OK,Thread Group 1-4,text,true,,126256,114,51,51,https://cerai.org/,493,0,333
1701349239307,954,bora ,200,OK,Thread Group 1-5,text,true,,126256,114,49,49,https://cerai.org/,483,0,324
1701349239334,1002,bora ,200,OK,Thread Group 1-7,text,true,,126256,114,52,52,https://cerai.org/,506,0,340
1701349239323,1018,bora ,200,OK,Thread Group 1-6,text,true,,126256,114,51,51,https://cerai.org/,517,0,348
1701349239354,1001,bora ,200,OK,Thread Group 1-8,text,true,,126256,114,51,51,https://cerai.org/,505,0,339
1701349239393,963,bora ,200,OK,Thread Group 1-10,text,true,,126256,114,50,50,https://cerai.org/,485,0,327
1701349239413,970,bora ,200,OK,Thread Group 1-11,text,true,,126256,114,50,50,https://cerai.org/,493,0,333
1701349239373,1020,bora ,200,OK,Thread Group 1-9,text,true,,126256,114,50,50,https://cerai.org/,517,0,347
1701349239453,1026,bora ,200,OK,Thread Group 1-13,text,true,,126256,114,53,53,https://cerai.org/,517,0,348
1701349239473,1018,bora ,200,OK,Thread Group 1-14,text,true,,126256,114,52,52,https://cerai.org/,499,0,336
1701349239494,1000,bora ,200,OK,Thread Group 1-15,text,true,,126256,114,52,52,https://cerai.org/,520,0,361
1701349239433,1103,bora ,200,OK,Thread Group 1-12,text,true,,126256,114,53,53,https://cerai.org/,537,0,358
1701349239514,1507,bora ,200,OK,Thread Group 1-16,text,true,,126256,114,76,76,https://cerai.org/,1037,0,816
1701349239534,1521,bora ,200,OK,Thread Group 1-17,text,true,,126256,114,77,77,https://cerai.org/,1026,0,857
1701349239594,1469,bora ,200,OK,Thread Group 1-20,text,true,,126256,114,76,76,https://cerai.org/,990,0,834
1701349239574,1511,bora ,200,OK,Thread Group 1-19,text,true,,126256,114,76,76,https://cerai.org/,1036,0,849
1701349239554,1539,bora ,200,OK,Thread Group 1-18,text,true,,126256,114,75,75,https://cerai.org/,1030,0,871
1701349239633,1530,bora ,200,OK,Thread Group 1-22,text,true,,126256,114,78,78,https://cerai.org/,1035,0,869
1701349239673,1497,bora ,200,OK,Thread Group 1-24,text,true,,126256,114,77,77,https://cerai.org/,1013,0,851
1701349239613,1566,bora ,200,OK,Thread Group 1-21,text,true,,126256,114,77,77,https://cerai.org/,1095,0,939
1701349239653,1539,bora ,200,OK,Thread Group 1-23,text,true,,126256,114,76,76,https://cerai.org/,1072,0,916
1701349239715,1487,bora ,200,OK,Thread Group 1-26,text,true,,126256,114,76,76,https://cerai.org/,998,0,837
1701349239693,1524,bora ,200,OK,Thread Group 1-25,text,true,,126256,114,76,76,https://cerai.org/,1048,0,890
1701349239736,1528,bora ,200,OK,Thread Group 1-27,text,true,,126256,114,77,77,https://cerai.org/,1026,0,861
1701349239754,1536,bora ,200,OK,Thread Group 1-28,text,true,,126256,114,77,77,https://cerai.org/,1059,0,898
1701349239775,1527,bora ,200,OK,Thread Group 1-29,text,true,,126256,114,77,77,https://cerai.org/,1067,0,885
1701349239814,1537,bora ,200,OK,Thread Group 1-31,text,true,,126256,114,78,78,https://cerai.org/,1054,0,894
1701349239794,1576,bora ,200,OK,Thread Group 1-30,text,true,,126256,114,78,78,https://cerai.org/,1057,0,883
1701349239873,1617,bora ,200,OK,Thread Group 1-34,text,true,,126256,114,83,83,https://cerai.org/,1144,0,987
1701349239835,1662,bora ,200,OK,Thread Group 1-32,text,true,,126256,114,83,83,https://cerai.org/,1183,0,1022
1701349239893,1989,bora ,200,OK,Thread Group 1-35,text,true,,126256,114,101,101,https://cerai.org/,1482,0,1324
1701349239853,2041,bora ,200,OK,Thread Group 1-33,text,true,,126256,114,101,101,https://cerai.org/,1521,0,1349
1701349239934,1977,bora ,200,OK,Thread Group 1-37,text,true,,126256,114,100,100,https://cerai.org/,1500,0,1329
1701349239913,2004,bora ,200,OK,Thread Group 1-36,text,true,,126256,114,100,100,https://cerai.org/,1520,0,1342
1701349239955,2023,bora ,200,OK,Thread Group 1-38,text,true,,126256,114,102,102,https://cerai.org/,1535,0,1377
1701349239975,2016,bora ,200,OK,Thread Group 1-39,text,true,,126256,114,101,101,https://cerai.org/,1526,0,1366
1701349240036,2005,bora ,200,OK,Thread Group 1-42,text,true,,126256,114,103,103,https://cerai.org/,1491,0,1332
1701349239993,2056,bora ,200,OK,Thread Group 1-40,text,true,,126256,114,102,102,https://cerai.org/,1518,0,1350
1701349240055,1995,bora ,200,OK,Thread Group 1-43,text,true,,126256,114,101,101,https://cerai.org/,1491,0,1326
1701349240014,2083,bora ,200,OK,Thread Group 1-41,text,true,,126256,114,103,103,https://cerai.org/,1526,0,1353
1701349240074,2026,bora ,200,OK,Thread Group 1-44,text,true,,126256,114,102,102,https://cerai.org/,1527,0,1362
1701349240154,1995,bora ,200,OK,Thread Group 1-48,text,true,,126256,114,103,103,https://cerai.org/,1519,0,1361
1701349240094,2069,bora ,200,OK,Thread Group 1-45,text,true,,126256,114,103,103,https://cerai.org/,1563,0,1368
1701349240114,2049,bora ,200,OK,Thread Group 1-46,text,true,,126256,114,103,103,https://cerai.org/,1543,0,1351
1701349240133,2142,bora ,200,OK,Thread Group 1-47,text,true,,126256,114,107,107,https://cerai.org/,1590,0,1414
1701349240193,2140,bora ,200,OK,Thread Group 1-50,text,true,,126256,114,109,109,https://cerai.org/,1642,0,1475
1701349240173,2160,bora ,200,OK,Thread Group 1-49,text,true,,126256,114,109,109,https://cerai.org/,1657,0,1490
1701349240214,2326,bora ,200,OK,Thread Group 1-51,text,true,,126256,114,117,117,https://cerai.org/,1829,0,1671
1701349240254,2287,bora ,200,OK,Thread Group 1-53,text,true,,126256,114,116,116,https://cerai.org/,1792,0,1631
1701349240273,2268,bora ,200,OK,Thread Group 1-54,text,true,,126256,114,115,115,https://cerai.org/,1775,0,1612
1701349240235,2329,bora ,200,OK,Thread Group 1-52,text,true,,126256,114,115,115,https://cerai.org/,1820,0,1650
1701349240295,2408,bora ,200,OK,Thread Group 1-55,text,true,,126256,114,121,121,https://cerai.org/,1912,0,1754
1701349240314,2445,bora ,200,OK,Thread Group 1-56,text,true,,126256,114,123,123,https://cerai.org/,1949,0,1785
1701349240354,2406,bora ,200,OK,Thread Group 1-58,text,true,,126256,114,122,122,https://cerai.org/,1911,0,1746
1701349240335,2446,bora ,200,OK,Thread Group 1-57,text,true,,126256,114,122,122,https://cerai.org/,1925,0,1765
1701349240375,2423,bora ,200,OK,Thread Group 1-59,text,true,,126256,114,122,122,https://cerai.org/,1949,0,1790
1701349240393,2448,bora ,200,OK,Thread Group 1-60,text,true,,126256,114,123,123,https://cerai.org/,1942,0,1770
1701349240453,2411,bora ,200,OK,Thread Group 1-63,text,true,,126256,114,123,123,https://cerai.org/,1925,0,1768
1701349240413,2454,bora ,200,OK,Thread Group 1-61,text,true,,126256,114,122,122,https://cerai.org/,1955,0,1794
1701349240433,2439,bora ,200,OK,Thread Group 1-62,text,true,,126256,114,121,121,https://cerai.org/,1957,0,1793
1701349240473,2423,bora ,200,OK,Thread Group 1-64,text,true,,126256,114,122,122,https://cerai.org/,1957,0,1800
1701349240493,2468,bora ,200,OK,Thread Group 1-65,text,true,,126256,114,124,124,https://cerai.org/,1952,0,1783
1701349240514,2463,bora ,200,OK,Thread Group 1-66,text,true,,126256,114,124,124,https://cerai.org/,1970,0,1806
1701349240534,2526,bora ,200,OK,Thread Group 1-67,text,true,,126256,114,127,127,https://cerai.org/,2006,0,1810
1701349240554,2508,bora ,200,OK,Thread Group 1-68,text,true,,126256,114,126,126,https://cerai.org/,1986,0,1790
1701349240595,2505,bora ,200,OK,Thread Group 1-70,text,true,,126256,114,127,127,https://cerai.org/,2015,0,1855
1701349240575,2591,bora ,200,OK,Thread Group 1-69,text,true,,126256,114,129,129,https://cerai.org/,2095,0,1929
1701349240615,2600,bora ,200,OK,Thread Group 1-71,text,true,,126256,114,131,131,https://cerai.org/,2096,0,1926
1701349240676,2678,bora ,200,OK,Thread Group 1-74,text,true,,126256,114,137,137,https://cerai.org/,2201,0,2035
